iter	RMSE
372	1328.65084
373	1328.469463
374	1328.247462
375	1327.921415
376	1327.789234
377	1327.521189
378	1327.143183
379	1327.105683
380	1326.963815
381	1326.860804
382	1326.819508
383	1326.728113
384	1326.582562
385	1326.324514
386	1326.273754
387	1326.032983
388	1325.849759
389	1325.615849
390	1325.298062
391	1325.095893
392	1324.925567
393	1324.62594
394	1324.558456
395	1324.492331
396	1324.471554
397	1324.357045
398	1324.163453
399	1323.964541
400	1323.877271
401	1323.800286
402	1323.684252
403	1323.635415
404	1323.586083
405	1323.514784
406	1323.400338
407	1323.300055
408	1323.036763
409	1322.95081
410	1322.898047
411	1322.866021
412	1322.74591
413	1322.708796
414	1322.604479
415	1322.41387
416	1322.189533
417	1322.113757
418	1322.054377
419	1321.819129
420	1321.748645
421	1321.674935
422	1321.50398
423	1321.376214
424	1321.164526
425	1321.00332
426	1320.958168
427	1320.908825
428	1320.859211
429	1320.708593
430	1320.374507
431	1320.349081
432	1320.263685
433	1320.155502
434	1319.992895
435	1319.917547
436	1319.739794
437	1319.570607
438	1319.491742
439	1319.248286
440	1319.168374
441	1318.999165
442	1318.903021
443	1318.799958
444	1318.721482
445	1318.549368
446	1318.373861
447	1318.33172
448	1318.255917
449	1318.112143
450	1318.020923
451	1317.944272
452	1317.766769
453	1317.603745
454	1317.548208
455	1317.333752
456	1316.972756
457	1316.877236
458	1316.835005
459	1316.811618
460	1316.732114
461	1316.421925
462	1316.268387
463	1315.979717
464	1315.905097
465	1315.783555
466	1315.637289
467	1315.499792
468	1315.215774
469	1315.081816
470	1315.013767
471	1314.822455
472	1314.703816
473	1314.668973
474	1314.541366
475	1314.367386
476	1314.123718
477	1314.086272
478	1313.900959
479	1313.745823
480	1313.628732
481	1313.423303
482	1313.384338
483	1313.349715
484	1313.309222
485	1313.17252
486	1312.940154
487	1312.842993
488	1312.734636
489	1312.543171
490	1312.522715
491	1312.425009
492	1312.366365
493	1312.160514
494	1312.058375
495	1311.986039
496	1311.852136
497	1311.651968
498	1311.358609
499	1311.29913
