iter	Passed	Remaining
403	10425	2477
404	10459	2453
405	10484	2427
406	10507	2400
407	10533	2375
408	10553	2348
409	10575	2321
410	10596	2294
411	10631	2270
412	10654	2244
413	10679	2218
414	10704	2192
415	10726	2165
416	10750	2139
417	10771	2113
418	10793	2086
419	10813	2059
420	10836	2033
421	10859	2007
422	10886	1981
423	10910	1955
424	10942	1931
425	10963	1904
426	10985	1878
427	11011	1852
428	11031	1825
429	11062	1800
430	11089	1775
431	11121	1750
432	11145	1724
433	11172	1699
434	11196	1673
435	11219	1646
436	11241	1620
437	11267	1594
438	11287	1568
439	11310	1542
440	11332	1516
441	11355	1490
442	11375	1463
443	11392	1436
444	11420	1411
445	11449	1386
446	11468	1359
447	11488	1333
448	11520	1308
449	11547	1283
450	11582	1258
451	11613	1233
452	11641	1207
453	11666	1182
454	11702	1157
455	11733	1132
456	11754	1106
457	11785	1080
458	11812	1055
459	11839	1029
460	11869	1004
461	11894	978
462	11925	953
463	11952	927
464	11975	901
465	12003	875
466	12040	850
467	12084	826
468	12112	800
469	12142	775
470	12162	748
471	12186	722
472	12214	697
473	12238	671
474	12263	645
475	12297	620
476	12324	594
477	12348	568
478	12377	542
479	12409	517
480	12435	491
481	12465	465
482	12488	439
483	12520	413
484	12551	388
485	12573	362
486	12596	336
487	12626	310
488	12652	284
489	12672	258
490	12691	232
491	12720	206
492	12747	181
493	12774	155
494	12800	129
495	12830	103
496	12854	77
497	12878	51
498	12906	25
499	12934	0
